epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.6029090881347656,0.8554395437240601,1.0559254884719849,0.3643636405467987,0.729397177696228,1.3908743858337402
1,0.6763636469841003,0.9075837731361389,0.8552219271659851,0.585454523563385,0.8655513525009155,1.0162513256072998
2,0.699999988079071,0.9209102988243103,0.7936052680015564,0.5109090805053711,0.8344763517379761,1.087578535079956
3,0.699999988079071,0.922695517539978,0.783035159111023,0.44654545187950134,0.7832328081130981,1.4104433059692383
4,0.7356363534927368,0.9396231770515442,0.6922173500061035,0.4320000112056732,0.7798765897750854,1.5694252252578735
5,0.7567272782325745,0.946090579032898,0.65260249376297,0.6629090905189514,0.9037421941757202,0.9204017519950867
6,0.7712727189064026,0.9530103206634521,0.6067879796028137,0.7672727108001709,0.9548696875572205,0.5920564532279968
7,0.7727272510528564,0.9570475816726685,0.5819106101989746,0.7905454635620117,0.9681519269943237,0.49996697902679443
8,0.7869091033935547,0.958828866481781,0.5690546631813049,0.7036363482475281,0.9280843734741211,0.7760606408119202
9,0.7807272672653198,0.9571782350540161,0.5790823101997375,0.5065454840660095,0.8225226998329163,1.5946348905563354
10,0.7847272753715515,0.9582748413085938,0.5697497129440308,0.43854546546936035,0.7964469194412231,1.3111618757247925
11,0.8007272481918335,0.9647756814956665,0.5228580832481384,0.5970908999443054,0.8749741315841675,1.217406988143921
12,0.8065454363822937,0.9672761559486389,0.5046200156211853,0.6869090795516968,0.9198720455169678,0.9935783743858337
13,0.8185454607009888,0.9718082547187805,0.4660319685935974,0.6745454668998718,0.9067642092704773,1.0301587581634521
14,0.8254545331001282,0.9732263088226318,0.4549848735332489,0.5239999890327454,0.8388732075691223,1.2729973793029785
15,0.8549090623855591,0.9795660972595215,0.39520055055618286,0.45709091424942017,0.8053362965583801,1.4487600326538086
16,0.852363646030426,0.9797119498252869,0.39354345202445984,0.6381818056106567,0.9021463990211487,1.061774730682373
17,0.8534545302391052,0.9813774228096008,0.37800928950309753,0.7814545631408691,0.9620863199234009,0.5976729989051819
